Modelo,Pooling,Nhid,MR,CR,SUBJ,MPQA,SST2,SST5,TREC,MRPC
microsoft/deberta-v3-base,_cls-1,0,"{'devacc': np.float64(54.11), 'acc': np.float64(52.74), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(58.84), 'acc': np.float64(57.52), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(58.26), 'acc': 57.94, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(28.34), 'acc': 27.19, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(39.12), 'acc': 41.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_mean-1,0,"{'devacc': np.float64(76.39), 'acc': np.float64(75.61), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.07), 'acc': np.float64(72.53), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.18), 'acc': np.float64(90.35), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.34), 'acc': np.float64(89.12), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.91), 'acc': 82.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.69), 'acc': 42.99, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(80.43), 'acc': 83.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.35), 'acc': 74.26, 'f1': 82.98, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_mean_exclude_cls_sep-1,0,"{'devacc': np.float64(76.44), 'acc': np.float64(75.46), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.84), 'acc': np.float64(74.97), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.31), 'acc': np.float64(90.79), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.26), 'acc': np.float64(88.84), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.57), 'acc': 81.0, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.96), 'acc': 42.22, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(80.83), 'acc': 82.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.16), 'acc': 73.33, 'f1': 82.54, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_cls_with_mean-1,0,"{'devacc': np.float64(76.3), 'acc': np.float64(74.85), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.87), 'acc': np.float64(75.23), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.04), 'acc': np.float64(90.32), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.11), 'acc': np.float64(88.97), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.57), 'acc': 81.82, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.87), 'acc': 43.17, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(79.95), 'acc': 81.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.07), 'acc': 72.17, 'f1': 82.12, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_cls_with_mean_exclude_cls_sep-1,0,"{'devacc': np.float64(76.32), 'acc': np.float64(75.99), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.53), 'acc': np.float64(76.5), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.11), 'acc': np.float64(90.27), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.12), 'acc': np.float64(88.8), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.8), 'acc': 81.71, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.78), 'acc': 43.3, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(80.43), 'acc': 83.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.69), 'acc': 72.93, 'f1': 82.34, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_3_tokens-1,0,"{'devacc': np.float64(76.49), 'acc': np.float64(75.94), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.13), 'acc': np.float64(78.68), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.18), 'acc': np.float64(91.74), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(88.79), 'acc': np.float64(88.65), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.28), 'acc': 80.23, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.14), 'acc': 42.71, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.37), 'acc': 64.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.05), 'acc': 67.94, 'f1': 77.33, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_3_tokens_exclude_cls_and_sep-1,0,"{'devacc': np.float64(76.52), 'acc': np.float64(76.26), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.51), 'acc': np.float64(77.67), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.14), 'acc': np.float64(91.77), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.62), 'acc': 80.4, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.69), 'acc': 42.67, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(84.87), 'acc': 85.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.76), 'acc': 66.9, 'f1': 76.02, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_5_tokens-1,0,"{'devacc': np.float64(76.0), 'acc': np.float64(75.85), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.98), 'acc': np.float64(78.81), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.45), 'acc': np.float64(91.94), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.05), 'acc': 79.96, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.42), 'acc': 42.49, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.18), 'acc': 60.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.93), 'acc': 62.03, 'f1': 70.54, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_5_tokens_exclude_cls_and_sep-1,0,"{'devacc': np.float64(76.12), 'acc': np.float64(75.56), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.92), 'acc': np.float64(77.38), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.41), 'acc': np.float64(92.23), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.69), 'acc': 41.63, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.09), 'acc': 86.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.59), 'acc': 67.71, 'f1': 80.37, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_cls-2,0,"{'devacc': np.float64(54.52), 'acc': np.float64(53.21), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(57.04), 'acc': np.float64(56.03), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(55.39), 'acc': 55.41, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(26.25), 'acc': 28.64, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(26.47), 'acc': 32.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_mean-2,0,"{'devacc': np.float64(76.92), 'acc': np.float64(75.92), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.27), 'acc': np.float64(74.09), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.65), 'acc': np.float64(90.68), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.45), 'acc': np.float64(88.83), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.91), 'acc': 81.99, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.41), 'acc': 44.12, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(79.81), 'acc': 86.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(72.6), 'acc': 72.93, 'f1': 82.05, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_mean_exclude_cls_sep-2,0,"{'devacc': np.float64(76.99), 'acc': np.float64(76.01), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(76.64), 'acc': np.float64(74.6), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.86), 'acc': np.float64(91.11), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.39), 'acc': np.float64(89.01), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.68), 'acc': 81.82, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.41), 'acc': 44.25, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(80.45), 'acc': 84.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.41), 'acc': 72.87, 'f1': 82.06, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_cls_with_mean-2,0,"{'devacc': np.float64(76.88), 'acc': np.float64(76.57), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(77.35), 'acc': np.float64(74.73), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.63), 'acc': np.float64(90.96), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.5), 'acc': np.float64(89.0), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.68), 'acc': 82.1, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.41), 'acc': 44.39, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(80.25), 'acc': 81.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.28), 'acc': 73.04, 'f1': 82.19, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_cls_with_mean_exclude_cls_sep-2,0,"{'devacc': np.float64(76.97), 'acc': np.float64(75.95), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.16), 'acc': np.float64(75.87), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(91.79), 'acc': np.float64(90.85), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.38), 'acc': np.float64(89.02), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.45), 'acc': 81.66, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.5), 'acc': 43.8, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(80.41), 'acc': 85.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.45), 'acc': 73.04, 'f1': 81.96, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_3_tokens-2,0,"{'devacc': np.float64(77.25), 'acc': np.float64(76.63), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.99), 'acc': np.float64(78.73), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.78), 'acc': np.float64(92.13), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.0), 'acc': np.float64(88.49), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.62), 'acc': 80.45, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.96), 'acc': 43.08, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.03), 'acc': 65.6, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.05), 'acc': 68.12, 'f1': 78.4, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_3_tokens_exclude_cls_and_sep-2,0,"{'devacc': np.float64(77.34), 'acc': np.float64(76.62), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.23), 'acc': np.float64(78.73), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.77), 'acc': np.float64(92.39), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.85), 'acc': 81.05, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.78), 'acc': 42.44, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.73), 'acc': 86.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.76), 'acc': 67.07, 'f1': 77.19, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_5_tokens-2,0,"{'devacc': np.float64(77.06), 'acc': np.float64(76.51), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.2), 'acc': np.float64(79.05), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.99), 'acc': np.float64(92.9), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(80.39), 'acc': 80.07, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(42.96), 'acc': 42.08, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.66), 'acc': 66.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.71), 'acc': 62.78, 'f1': 71.18, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_5_tokens_exclude_cls_and_sep-2,0,"{'devacc': np.float64(77.24), 'acc': np.float64(76.43), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.15), 'acc': np.float64(78.89), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.11), 'acc': np.float64(92.56), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(49.08), 'acc': 50.08, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(43.69), 'acc': 42.04, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.58), 'acc': 89.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(71.07), 'acc': 68.64, 'f1': 78.64, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_cls-3,0,"{'devacc': np.float64(58.63), 'acc': np.float64(56.49), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(63.76), 'acc': np.float64(63.76), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(65.84), 'acc': np.float64(59.89), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(64.45), 'acc': 63.98, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(29.16), 'acc': 26.61, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(40.0), 'acc': 37.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(67.54), 'acc': 66.49, 'f1': 79.87, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_mean-3,0,"{'devacc': np.float64(78.41), 'acc': np.float64(77.68), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.26), 'acc': np.float64(76.42), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.51), 'acc': np.float64(91.75), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.35), 'acc': np.float64(88.52), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.75), 'acc': 84.35, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.41), 'acc': 44.48, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(80.65), 'acc': 88.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.33), 'acc': 71.94, 'f1': 81.57, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_mean_exclude_cls_sep-3,0,"{'devacc': np.float64(78.55), 'acc': np.float64(77.72), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.44), 'acc': np.float64(77.38), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.7), 'acc': np.float64(91.8), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.59), 'acc': np.float64(89.38), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.06), 'acc': 84.13, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.41), 'acc': 44.84, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(81.66), 'acc': 89.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.82), 'acc': 73.16, 'f1': 82.13, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_cls_with_mean-3,0,"{'devacc': np.float64(78.5), 'acc': np.float64(78.23), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(78.56), 'acc': np.float64(76.24), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.61), 'acc': np.float64(91.75), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.27), 'acc': np.float64(88.71), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.75), 'acc': 84.18, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.78), 'acc': 44.66, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(81.27), 'acc': 87.2, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.38), 'acc': 73.1, 'f1': 82.15, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_cls_with_mean_exclude_cls_sep-3,0,"{'devacc': np.float64(78.5), 'acc': np.float64(77.98), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(79.24), 'acc': np.float64(77.48), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(92.7), 'acc': np.float64(91.94), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.58), 'acc': np.float64(89.06), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(84.17), 'acc': 84.62, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(44.78), 'acc': 44.71, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(81.8), 'acc': 87.0, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(73.67), 'acc': 73.28, 'f1': 82.07, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_3_tokens-3,0,"{'devacc': np.float64(79.0), 'acc': np.float64(78.12), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.83), 'acc': np.float64(78.44), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.56), 'acc': np.float64(93.17), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(89.27), 'acc': np.float64(88.75), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(82.22), 'acc': 82.65, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.41), 'acc': 44.03, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(85.91), 'acc': 72.4, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.71), 'acc': 67.83, 'f1': 77.59, 'ndev': 4076, 'ntest': 1725}"
microsoft/deberta-v3-base,_concat_mean_3_tokens_exclude_cls_and_sep-3,0,"{'devacc': np.float64(78.86), 'acc': np.float64(78.27), 'ndev': 10662, 'ntest': 10662}","{'devacc': np.float64(80.58), 'acc': np.float64(79.15), 'ndev': 3775, 'ntest': 3775}","{'devacc': np.float64(93.5), 'acc': np.float64(93.05), 'ndev': 10000, 'ntest': 10000}","{'devacc': np.float64(68.77), 'acc': np.float64(68.77), 'ndev': 10606, 'ntest': 10606}","{'devacc': np.float64(81.42), 'acc': 82.15, 'ndev': 872, 'ntest': 1821}","{'devacc': np.float64(45.05), 'acc': 44.34, 'ndev': 1101, 'ntest': 2210}","{'devacc': np.float64(86.7), 'acc': 88.8, 'ndev': 5452, 'ntest': 500}","{'devacc': np.float64(70.63), 'acc': 67.36, 'f1': 76.37, 'ndev': 4076, 'ntest': 1725}"
